ticker,shares,avg_cost,current_price
RKLB,11.9185157,34.1526,126.32
NVDA,4.4755656,121.3254,228.62
EOSE,74.0,7.9895,9.01
AAPL,1.8883674,178.3953,310.09
AMZN,2.0782085,201.5438,258.19
PLTR,3.2619040,98.3137,151.79
LLY,0.4198325,830.9504,1064.24
ARM,1.0562994,117.8601,400.91
JEPQ,6.6849909,52.9654,60.77
SOFI,19.0261206,19.1301,17.85
GOOG,0.8986779,212.3119,366.96
RBRK,4.0,63.8630,82.29
AVGO,0.6679405,167.8620,479.00
HOOD,3.4220807,96.2829,86.48
CRWD,0.3633041,345.7159,752.84
NBIS,1.0,115.9495,269.63
TSM,0.6004837,203.1029,440.88
MSFT,0.5384151,430.8386,444.50
LITE,0.2229064,895.8020,993.87
META,0.3660904,618.3719,603.13
CIFR,8.0,17.2862,25.49
IREN,3.0,43.4650,67.37
ORCL,0.8096045,246.6760,240.66
ANET,1.0,129.4360,173.97
TMDX,2.3158220,82.7870,68.00
GLW,0.7953773,188.2880,196.74
IONQ,2.0,36.6198,70.16
NFLX,1.4416557,96.9718,84.02
AAOI,0.6053779,156.6790,197.20
CEG,0.4222293,247.7564,266.22
CRML,9.0,13.8082,12.26
ONDS,8.0,9.8721,13.35
MU,0.0679113,735.0760,1027.47
OKLO,1.0,63.1791,68.38
ASML,0.0378987,1053.8630,1684.06
CAT,0.0562983,886.7060,896.24
MELI,0.0290665,1717.4420,1693.27
